Article,Journal
209077,JHEP
209084,Phys.Lett.
209085,Phys.Lett.
209089,JHEP
209091,Phys.Rev.
209092,Phys.Rev.
209093,Phys.Lett.
209099,JHEP
2090,Nucl.Phys.
209102,Nucl.Phys.
209110,J.Phys.
209111,Phys.Lett.
209124,Phys.Rev.
209125,Nucl.Phys.
209126,Class.Quant.Grav.
209129,Mod.Phys.Lett.
209141,Phys.Rev.
209150,Nucl.Phys.
209154,J.Phys.
209156,JHEP
209157,JHEP
209159,Phys.Rev.
209163,JHEP
209174,Mod.Phys.Lett.
209179,JHEP
209180,Phys.Lett.
209184,Phys.Lett.
209186,Phys.Lett.
209196,Phys.Lett.
209197,JHEP
209201,JHEP
209202,JHEP
209205,JHEP
209206,Phys.Rev.
209210,Mod.Phys.Lett.
209218,Phys.Lett.
209220,Phys.Lett.
209221,Phys.Lett.
209222,JHEP
209224,JHEP
209225,Nucl.Phys.
209232,JHEP
209234,Prog.Theor.Phys.
209235,JHEP
209241,Class.Quant.Grav.
209247,JHEP
209263,Phys.Lett.
209265,JHEP
2093,Annals
2097,Nucl.Phys.
2098,Phys.Rev.
210016,JHEP
210019,J.Phys.
210029,JHEP
210030,Phys.Lett.
210037,Phys.Lett.
210039,Prog.Theor.Phys.
210048,JHEP
210049,JHEP
210050,Phys.Rev.
210053,Nucl.Phys.
210054,JHEP
210064,JHEP
210065,Phys.
210067,Phys.Lett.
210073,Phys.Lett.
210078,JHEP
210082,Nucl.Phys.
210095,JHEP
210096,JHEP
210098,Phys.Rev.
2100,Nucl.Phys.
210100,J.Math.Phys.
210101,Phys.Lett.
210114,Phys.Lett.
210115,JHEP
210126,JHEP
210127,JHEP
210128,Phys.Rev.
210135,Nucl.Phys.
210137,Nucl.Phys.
210146,JHEP
210154,JHEP
210155,JHEP
210166,Mod.Phys.Lett.
210176,Phys.Rev.
210181,JHEP
210195,J.Phys.
2101,Phys.Lett.
210204,Phys.Lett.
210206,Phys.Lett.
210211,Nucl.Phys.
210218,JHEP
210219,Phys.Lett.
210220,JHEP
210223,JHEP
210229,JHEP
210233,JHEP
210234,JHEP
210239,JHEP
210240,JHEP
210241,Nucl.Phys.
210253,Phys.Lett.
210254,Phys.Rev.
210260,J.Phys.
210262,JHEP
210265,Phys.Lett.
210269,JHEP
210271,Nucl.Phys.
210275,Phys.Rev.
210278,Phys.Rev.
210281,Phys.Lett.
210292,Class.Quant.Grav.
210302,JHEP
210308,Phys.Rev.
210309,JHEP
2104,JHEP
211003,JHEP
211007,JHEP
211016,Nucl.Phys.
211020,JHEP
211024,Phys.Rev.
211025,JHEP
211028,Class.Quant.Grav.
211036,Phys.Lett.
211038,JHEP
211055,Phys.
211056,JHEP
211058,Phys.Rev.
211059,JHEP
211062,Phys.Rev.Lett.
211063,JHEP
211073,JHEP
211079,Annals
211082,Phys.Lett.
211086,JHEP
211092,Phys.Lett.
211093,Phys.Lett.
2110,Phys.Lett.
211101,JHEP
211103,Nucl.Phys.
211104,Phys.Rev.
211114,Phys.Lett.
211118,Nucl.Phys.
211125,Mod.Phys.Lett.
211139,JHEP
211143,Phys.Lett.
211152,JHEP
211157,JHEP
211163,JHEP
211171,JHEP
211173,JHEP
211178,Nucl.Phys.
211180,JHEP
211203,JHEP
211206,JHEP
211207,Class.Quant.Grav.
211223,Phys.Lett.
211240,JHEP
211248,Int.J.Mod.Phys.
211249,Phys.Lett.
211252,JHEP
211261,JHEP
211265,JHEP
211272,Prog.Theor.Phys.
211285,JHEP
2112,Nucl.Phys.
2113,Int.J.Mod.Phys.
2117,JHEP
2119,Phys.Lett.
212016,JHEP
212017,Phys.Rev.
212023,Phys.Lett.
212029,Phys.Lett.
212034,Mod.
212044,JHEP
212048,JHEP
212056,JHEP
212063,JHEP
212099,JHEP
212110,Mod.Phys.Lett.
212119,JHEP
212132,JHEP
212135,Nucl.Phys.
212139,Phys.Lett.
212167,JHEP
212171,Phys.Lett.
212172,JHEP
212182,Phys.Lett.
2121,Phys.Rev.
212230,JHEP
212236,JHEP
212242,JHEP
212248,JHEP
212269,Phys.
2122,Phys.Lett.
212311,Phys.Lett.
212316,JHEP
212341,Phys.Lett.
212342,Phys.Lett.
2123,Nucl.Phys.
2126,JHEP
2127,JHEP
2128,JHEP
2130,Phys.Lett.
2132,Phys.Rev.
2134,Mod.Phys.Lett.
2138,Nucl.Phys.
2139,Int.J.Mod.Phys.
2140,Phys.Rev.
2142,Lett.Math.Phys.
2148,Nucl.Phys.
2151,Phys.Lett.
2154,Adv.Theor.Math.Phys.
2156,Phys.Lett.
2158,Phys.Lett.
2159,Nucl.Phys.
2160,Adv.Theor.Math.Phys.
2164,Phys.Lett.
2165,Int.J.Mod.Phys.
2167,JHEP
2168,Adv.Theor.Math.Phys.
2170,Phys.Rev.
2171,Phys.Lett.
2174,Nucl.Phys.
2175,Nucl.Phys.
2178,J.Phys.
2186,JHEP
2188,Nucl.Phys.
2190,Phys.Lett.
2191,Nucl.Phys.
2192,Phys.Lett.
2193,Commun.Math.Phys.
2196,Phys.Rev.
2197,Phys.Lett.
2202,JHEP
2203,Nucl.Phys.
2205,Class.Quant.Grav.
2208,J.Phys.
2210,Phys.Lett.
2211,Nucl.Phys.
2215,Phys.Rev.
2216,Phys.Lett.
2218,Nucl.Phys.
2219,Nucl.Phys.
2223,Nucl.Phys.
2225,Phys.Rev.Lett.
2227,JHEP
2228,Phys.Rev.
2230,Commun.Math.Phys.
2233,Phys.Lett.
2234,Mod.Phys.Lett.
2237,Nucl.Phys.
2238,Phys.Lett.
2240,Adv.Theor.Math.Phys.
2241,Phys.Rev.
2242,Phys.Rev.
2244,Phys.Rev.
2247,Int.J.Mod.Phys.
2256,Phys.Lett.
2258,JHEP
3001,Int.J.Mod.Phys.
3002,JHEP
3007,Nucl.Phys.
3009,Phys.Rev.
301006,JHEP
301030,JHEP
301052,Annals
301053,Phys.Lett.
301065,JHEP
301086,Phys.Lett.
301092,JHEP
301099,JHEP
3010,Int.J.Mod.Phys.
301110,JHEP
301125,JHEP
301146,J.Phys.
301169,Class.Quant.Grav.
301170,J.Math.Phys.
3011,Phys.Rev.
3013,Prog.Theor.Phys.
3014,Phys.Rev.Lett.
3017,Phys.Lett.
3018,Nucl.Phys.
302023,JHEP
302037,JHEP
3025,JHEP
3029,Nucl.Phys.
303037,Commun.Math.Phys.
303048,JHEP
303054,JHEP
303095,Class.Quant.Grav.
303098,JHEP
303100,J.Phys.
303151,JHEP
303156,JHEP
303179,J.Geom.Phys.
303202,JHEP
303207,JHEP
303214,JHEP
303247,JHEP
3033,Nucl.Phys.
3035,Nucl.Phys.
3037,JHEP
3038,JHEP
3046,Adv.Theor.Math.Phys.
3048,Nucl.Phys.
3050,Phys.Lett.
3051,JHEP
3052,Phys.Rev.
3053,JHEP
3055,Nucl.Phys.
3058,Phys.Lett.
3060,Phys.Rev.
3061,Phys.Lett.
3063,Nucl.Phys.
3065,Nucl.Phys.
3069,Int.J.Mod.Phys.
3071,Class.Quant.Grav.
3075,JHEP
3079,Eur.Phys.J.
3081,Nucl.Phys.
3084,Int.J.Mod.Phys.
3086,Int.J.Mod.Phys.
3087,Phys.Lett.
3092,Phys.Lett.
3096,Phys.Lett.
3098,Nucl.Phys.
3099,Int.J.Mod.Phys.
3100,Phys.Rev.
3102,JHEP
3105,Phys.Rev.
3106,Int.J.Mod.Phys.
3108,Mod.Phys.Lett.
3109,Class.Quant.Grav.
3110,Nucl.Phys.
3114,Commun.Math.Phys.
3115,Nucl.Phys.
3116,Phys.Lett.
3117,Phys.Rev.
3118,Phys.Rev.Lett.
3119,Int.J.Mod.Phys.
3121,Acta
3122,Nucl.Phys.
3123,Theor.Math.Phys.
3124,JHEP
3127,Nucl.Phys.Proc.Suppl.
3130,Phys.Lett.
3132,JHEP
3133,Mod.Phys.Lett.
3135,Phys.Rev.
3137,Nucl.Phys.
3138,Nucl.Phys.
3139,Phys.Rev.Lett.
3142,Phys.Lett.
3144,Nucl.Phys.
3146,Int.J.Theor.Phys.
3148,Phys.Rev.
3151,JHEP
3154,Nucl.Phys.
3155,Commun.Math.Phys.
3158,Phys.Rev.
3160,JHEP
3162,Phys.Lett.
3163,JHEP
3164,J.Math.Phys.
3169,Nucl.Phys.
3172,Phys.Lett.
3174,Phys.Rev.
3176,Nucl.Phys.Proc.Suppl.
3177,Nucl.Phys.
3180,Nucl.Phys.
3186,Phys.Rev.
3187,JHEP
3188,Commun.Math.Phys.
3189,Mod.Phys.Lett.
3192,Class.Quant.Grav.
3193,Phys.Lett.
3194,Phys.Rev.
3195,Phys.Rev.
3197,Phys.Lett.
3198,Nucl.Phys.
3201,J.Math.Phys.
3203,Nucl.Phys.
3204,Prog.Theor.Phys.
3205,JHEP
3213,Phys.Lett.
3215,JHEP
3216,JHEP
3217,Phys.Lett.
3220,JHEP
3221,JHEP
3222,Mod.Phys.Lett.
3223,JHEP
3225,Eur.Phys.J.
3226,Phys.Lett.
3227,JHEP
3228,Nucl.Phys.
3230,JHEP
3231,Phys.Lett.
3232,Phys.Rev.
3233,Nucl.Phys.
3235,JHEP
3236,Nucl.Phys.
3237,Phys.Rev.Lett.
3239,J.Geom.Phys.
3242,JHEP
3244,JHEP
3245,Nucl.Phys.
3246,Theor.Math.Phys.
3248,Phys.Lett.
3249,Phys.Lett.
3252,Nucl.Phys.
3255,Annals
3256,Phys.Rev.
3257,Phys.Lett.
3258,J.Phys.
3260,Phys.Rev.
3261,Class.Quant.Grav.
3262,Phys.Lett.
3264,Phys.Lett.
3267,Annals
3268,Phys.Lett.
3269,Phys.Lett.
3271,Phys.Rev.
3272,JHEP
3273,Phys.Lett.
3274,Phys.Lett.
3277,Phys.Lett.
3282,Nucl.Phys.
3283,Phys.Lett.
3284,Phys.Lett.
3285,Nucl.Phys.
3288,Phys.Rev.
3291,JHEP
3292,Phys.Lett.
3293,Phys.Rev.
3294,Phys.Lett.
3295,Phys.Lett.
3298,Nucl.Phys.
3300,Phys.Rev.
4004,Phys.Lett.
4005,Nucl.Phys.
4010,Phys.Lett.
4011,JHEP
4012,Int.J.Mod.Phys.
4013,Phys.Rev.
4014,Phys.Rev.Lett.
4017,JHEP
4019,Phys.Lett.
4022,Nucl.Phys.
4024,Mod.Phys.Lett.
4027,Phys.Rev.Lett.
4032,Nucl.Phys.
4037,Nucl.Phys.
4043,Phys.Rev.
4044,Prog.Theor.Phys.
4046,Int.J.Mod.Phys.
4048,JHEP
4049,Commun.Math.Phys.
4051,J.Phys.
4055,Nucl.Phys.
4056,Phys.Lett.
4058,Phys.Lett.
4059,Phys.Rev.
4061,Phys.Lett.
4062,JHEP
4063,Nucl.Phys.
4067,Phys.Rev.
4068,Phys.Rev.
4069,Mod.Phys.Lett.
4070,Nucl.Phys.
4071,JHEP
4072,Nucl.Phys.
4073,Nucl.Phys.
4076,Nucl.Phys.
4077,Nucl.Phys.
4078,Nucl.Phys.
4080,JHEP
4081,Phys.Rev.
4082,Phys.Rev.
4083,Phys.Rev.
4084,Phys.Rev.
4086,JHEP
4090,Phys.Lett.
4092,JHEP
4094,Phys.Lett.
4095,Phys.Lett.
4097,Phys.Lett.
4098,Class.Quant.Grav.
4099,Phys.Rev.
4100,Nucl.Phys.
4101,Class.Quant.Grav.
4104,Nucl.Phys.
4106,Phys.Rev.
4107,Phys.Rev.
4112,JHEP
4117,Phys.Rev.
4119,Nucl.Phys.
4121,Int.J.Mod.Phys.
4124,Nucl.Phys.
4126,Phys.Lett.
4128,J.Math.Phys.
4130,Phys.Rev.
4133,Nucl.Phys.
4134,JHEP
4137,Phys.Lett.
4138,Phys.Rev.
4141,JHEP
4142,Phys.Rev.
4144,Phys.Rev.
4145,J.Phys.
4148,Phys.Lett.
4149,Class.Quant.Grav.
4154,Int.J.Mod.Phys.
4157,Phys.Rev.
4158,Phys.Lett.
4159,Phys.Lett.
4162,Phys.Rev.
4164,Phys.Lett.
4165,Phys.Lett.
4166,Phys.Rev.
4167,JHEP
4170,Nucl.Phys.
4171,JHEP
4173,Mod.Phys.Lett.
4175,Int.J.Mod.Phys.
4176,Nucl.Phys.
4177,Phys.Rev.
4180,Phys.Lett.
4181,Nucl.Phys.
4183,Nucl.Phys.
4184,JHEP
4185,Nucl.Phys.
4187,JHEP
4189,Phys.Lett.
4190,Int.J.Mod.Phys.
4194,Phys.Rev.Lett.
4195,Nucl.Phys.
4199,Nucl.Phys.
4200,Annals
4201,Nucl.Phys.
4205,Int.J.Mod.Phys.
5001,Phys.Rev.
5002,Nucl.Phys.
5004,Phys.Rev.
5005,Nucl.Phys.
5006,JHEP
5008,Nucl.Phys.
5010,Phys.Rev.
5011,Class.Quant.Grav.
5014,Phys.Rev.
5016,Phys.Lett.
5018,Mod.Phys.Lett.
5019,Phys.Rev.
5021,Phys.Lett.
5026,Nucl.Phys.
5028,JHEP
5029,Class.Quant.Grav.
5030,Prog.Theor.Phys.
5031,JHEP
5032,Phys.Rev.
5035,Int.J.Mod.Phys.
5036,JHEP
5038,Phys.Rev.
5040,JHEP
5041,Class.Quant.Grav.
5045,Phys.Rev.
5046,Phys.Rev.
5047,JHEP
5049,JHEP
5051,Phys.Lett.
5052,JHEP
5053,Int.J.Mod.Phys.
5054,JHEP
5055,Phys.Rev.
5059,JHEP
5060,Phys.Lett.
5062,Phys.Rev.
5064,Nucl.Phys.
5065,Nucl.Phys.
5066,Phys.Lett.
5067,JHEP
5071,Phys.Rev.
5075,Nucl.Phys.
5076,Nucl.Phys.
5080,Prog.Theor.Phys.
5083,Int.J.Mod.Phys.
5086,Nucl.Phys.
5087,Nucl.Phys.
5089,JHEP
5094,Class.Quant.Grav.
5097,Phys.Lett.
5098,JHEP
5099,Phys.Lett.
5104,J.Phys.
5105,Nucl.Phys.
5109,Phys.Rev.
5110,Phys.Lett.
5111,Int.J.Mod.Phys.
5112,Phys.Lett.
5113,Phys.Lett.
5114,JHEP
5116,Class.Quant.Grav.
5117,J.Math.Phys.
5120,Nucl.Phys.
5121,JHEP
5122,Phys.Lett.
5125,Prog.Theor.Phys.
5126,Class.Quant.Grav.
5127,Phys.Rev.
5128,Nucl.Phys.
5129,Nucl.Phys.
5131,Prog.Theor.Phys.
5136,Nucl.Phys.
5139,Phys.Lett.
5142,JHEP
5147,JHEP
5149,Phys.Rev.Lett.
5150,Phys.Lett.
5153,Nucl.Phys.
5154,Int.J.Mod.Phys.
5156,Phys.Lett.
5159,Phys.Rev.Lett.
5160,JHEP
5161,Nucl.Phys.
5162,JHEP
5164,JHEP
5165,Nucl.Phys.
5171,Class.Quant.Grav.
5172,Class.Quant.Grav.
5173,Nucl.Phys.
5174,JHEP
5175,Mod.Phys.Lett.
5176,Phys.Rev.
5182,Nucl.Phys.
5184,Int.J.Mod.Phys.
5185,Phys.Lett.
5187,Int.J.Mod.Phys.
5190,Phys.Lett.
5192,Nucl.Phys.
5194,J.Geom.Phys.
5197,Prog.Theor.Phys.
5199,Commun.Math.Phys.
5203,Mod.Phys.Lett.
5204,JHEP
5205,J.Math.Phys.
5207,Int.J.Mod.Phys.
5208,Nucl.Phys.
5209,Phys.Rev.
5210,Class.Quant.Grav.
5211,JHEP
5212,Phys.Rev.
5213,JHEP
5216,Mod.Phys.Lett.
5220,Nucl.Phys.
5222,Commun.Math.Phys.
5223,Nucl.Phys.
5224,Phys.Lett.
5227,Eur.Phys.J.
5229,Nucl.Phys.
5233,Class.Quant.Grav.
5235,Class.Quant.Grav.
5236,Phys.Rev.
5237,Class.Quant.Grav.
5239,Phys.Rev.
5242,Phys.Rev.
5243,Phys.Rev.
5244,Phys.Lett.
5245,Phys.Lett.
5249,Class.Quant.Grav.
5251,Nucl.Phys.
5252,Phys.Rev.
5253,Phys.Rev.Lett.
5254,J.Phys.
5255,Eur.Phys.J.
5256,JHEP
5262,J.Math.Phys.
5265,Phys.Lett.
5267,Phys.Lett.
5268,Nucl.Phys.
5272,Nucl.Phys.
5273,J.Geom.Phys.
5276,Nucl.Phys.
5277,J.Phys.
5278,Phys.Lett.
5279,Nucl.Phys.Proc.Suppl.
5280,Phys.Lett.
5282,Phys.Rev.
5283,Nucl.Phys.
5284,Annals
5285,Phys.Lett.
5286,Mod.Phys.Lett.
5287,Nucl.Phys.Proc.Suppl.
6004,J.Math.Phys.
6007,Phys.Lett.
6008,JHEP
6010,Adv.Theor.Math.Phys.
6012,Class.Quant.Grav.
6013,Phys.Rev.
6014,JHEP
6015,Class.Quant.Grav.
6018,Adv.Theor.Math.Phys.
6020,Class.Quant.Grav.
6021,Phys.Lett.
6023,JHEP
6028,Phys.Rev.
6030,Nucl.Phys.
6033,Nucl.Phys.
6035,Nucl.Phys.
6036,Nucl.Phys.
6037,Phys.Rev.
6041,Phys.Lett.
6042,Lett.Math.Phys.
6043,Nucl.Phys.
6048,Nucl.Phys.
6050,Commun.Math.Phys.
6068,Phys.Rev.Lett.
6074,J.Math.Phys.
6077,Phys.Rev.
6078,Phys.Rev.
6079,Phys.Rev.
6081,J.Phys.
6084,Phys.Rev.
6085,Int.J.Mod.Phys.
6087,Phys.Rev.
6089,J.Phys.
6091,Nucl.Phys.
6097,Phys.Rev.
6098,Nucl.Phys.
6099,Phys.Rev.
6102,Phys.Rev.
6111,Phys.Rev.
6113,Adv.Theor.Math.Phys.
6114,Nucl.Phys.
6115,Class.Quant.Grav.
6119,Nucl.Phys.
6120,JHEP
6122,JHEP
6136,Acta
6139,JHEP
6144,Phys.Lett.
6145,JHEP
6146,Class.Quant.Grav.
6150,Int.J.Mod.Phys.
6152,Phys.Lett.
6156,Commun.Math.Phys.
6158,Phys.Rev.
6159,JHEP
6160,JHEP
6162,Phys.Lett.
6165,Nucl.Phys.
6167,J.Math.Phys.
6173,J.Phys.
6179,Class.Quant.Grav.
6180,Prog.Theor.Phys.
6181,Phys.Lett.
6183,Nucl.Phys.
6186,Nucl.Phys.
6188,Nucl.Phys.
6191,JHEP
6192,JHEP
6193,JHEP
6196,Commun.Math.Phys.
6201,JHEP
6204,JHEP
6207,Phys.Rev.
6209,Int.J.Mod.Phys.
6210,JHEP
6211,Phys.Rev.
6213,Phys.Rev.
6215,Phys.Lett.
6217,Nucl.Phys.
6219,Phys.Lett.
6220,Phys.Rev.
6223,JHEP
6225,Phys.Lett.
6227,Mod.Phys.Lett.
6228,Phys.Lett.
6230,Phys.Rev.
6231,Phys.Rev.Lett.
6232,JHEP
6236,JHEP
6239,JHEP
6242,Nucl.Phys.
6243,J.Phys.
6247,Nucl.Phys.
6248,Phys.Lett.
6251,Phys.Lett.
7002,Nucl.Phys.
7004,Nucl.Phys.
7007,Nucl.Phys.
7008,Nucl.Phys.
7009,Phys.Rev.
7011,JHEP
7013,Eur.Phys.J.
7014,Phys.Rev.
7016,Int.J.Mod.Phys.
7018,Int.J.Mod.Phys.
7019,JHEP
7020,Nucl.Phys.
7023,Eur.Phys.J.
7024,JHEP
7025,Phys.Lett.
7028,Phys.Lett.
7032,J.Phys.
7033,Int.J.Mod.Phys.
7035,JHEP
7037,JHEP
7039,Phys.Lett.
7042,Phys.Rev.
7043,Phys.Lett.
7048,Nucl.Phys.
7052,JHEP
7055,Phys.Lett.
7058,Int.J.Mod.Phys.
7060,Phys.Lett.
7061,Phys.Rev.
7065,Phys.Lett.
7066,Phys.Rev.
7069,Nucl.Phys.
7070,Eur.Phys.J.
7071,Adv.Theor.Math.Phys.
7073,Eur.Phys.J.
7077,Nucl.Phys.
7078,JHEP
7079,Nucl.Phys.
7080,J.Phys.
7081,Phys.Rev.
7082,JHEP
7083,JHEP
7086,Class.Quant.Grav.
7087,Nucl.Phys.
7089,Phys.Lett.
7090,Phys.Lett.
7091,J.Phys.
7092,Phys.Lett.
7094,Phys.Lett.
7102,Annals
7103,J.Math.Phys.
7104,JHEP
7105,Phys.Lett.
7107,Phys.Lett.
7112,J.Phys.
7114,Phys.Rev.
7119,Nucl.Phys.
7121,Mod.Phys.Lett.
7126,JHEP
7131,Nucl.Phys.
7132,Phys.Rev.Lett.
7136,JHEP
7137,Class.Quant.Grav.
7139,Phys.Rev.
7141,JHEP
7142,Eur.Phys.J.
7145,Nucl.Phys.
7147,Nucl.Phys.
7148,Phys.Rev.
7151,J.Phys.
7153,JHEP
7154,Phys.Lett.
7155,Int.J.Mod.Phys.
7156,Eur.Phys.J.
7160,Lett.Math.Phys.
7166,JHEP
7168,Nucl.Phys.
7169,Nucl.Phys.
7171,JHEP
7174,Phys.Lett.
7176,Phys.Lett.
7178,Int.J.Mod.Phys.
7181,Phys.Lett.
7184,Prog.Theor.Phys.
7189,Nucl.Phys.
7194,Adv.Theor.Math.Phys.
7195,Fortsch.Phys.
7197,Phys.Rev.
7198,JHEP
7199,Annals
7200,Mod.Phys.Lett.
7204,JHEP
7207,Mod.Phys.Lett.
7208,Nucl.Phys.
7209,Phys.Rev.
7212,JHEP
7216,Phys.Rev.
7217,JHEP
7220,Nucl.Phys.
7221,Nucl.Phys.
7222,Class.Quant.Grav.
7223,Phys.Lett.
7225,Phys.Rev.
7226,JHEP
7227,Phys.Lett.
7228,Phys.Rev.
7230,Int.J.Mod.Phys.
7234,Nucl.Phys.
7235,JHEP
7239,Phys.Rev.
7241,JHEP
7247,Phys.Lett.
7248,J.Math.Phys.
7249,Nucl.Phys.
7250,JHEP
7252,Nucl.Phys.
7253,Phys.Rev.
8001,Phys.Rev.Lett.
8003,Phys.Rev.
8013,JHEP
8025,JHEP
8027,Phys.Lett.
8028,JHEP
8031,Phys.Rev.
8033,JHEP
8036,J.Phys.
8038,JHEP
8039,J.Phys.
8040,Nucl.Phys.Proc.Suppl.
8041,Phys.Lett.
8043,Phys.Lett.
8044,Nucl.Phys.
8046,JHEP
8047,Phys.Lett.
8048,Phys.Lett.
8049,Phys.Rev.
8051,Phys.Rev.
8052,Phys.Rev.
8053,Phys.Lett.
8059,Class.Quant.Grav.
8060,JHEP
8061,Nucl.Phys.
8063,Commun.Math.Phys.
8065,Nucl.Phys.
8066,Nucl.Phys.
8067,Nucl.Phys.
8068,Phys.Lett.
8070,Phys.Rev.
8071,J.Phys.
8072,J.Geom.Phys.
8074,Phys.Rev.
8077,Phys.Lett.
8080,JHEP
8082,JHEP
8083,JHEP
8084,Phys.Rev.
8089,Phys.Lett.
8090,JHEP
8093,Eur.Phys.J.
8094,Phys.Lett.
8095,Nucl.Phys.
8099,J.Phys.
8102,Mod.Phys.Lett.
8103,Phys.Rev.
8106,Nucl.Phys.
8109,Phys.Lett.
8111,Phys.Lett.
8112,JHEP
8114,Phys.Rev.
8123,JHEP
8125,Nucl.Phys.
8126,J.Phys.
8127,JHEP
8128,Phys.Lett.
8131,Phys.Rev.Lett.
8141,JHEP
8142,J.Math.Phys.
8145,Int.J.Mod.Phys.
8146,Nucl.Phys.
8147,Nucl.Phys.
8152,Phys.Rev.
8153,Phys.Lett.
8155,Mod.Phys.Lett.
8158,Phys.Lett.
8159,Phys.Rev.
8161,Int.J.Mod.Phys.
8168,Nucl.Phys.
8173,JHEP
8176,Nucl.Phys.Proc.Suppl.
8181,Int.J.Mod.Phys.
8188,Phys.Rev.
8189,Phys.Lett.
8191,Phys.Lett.
8192,Class.Quant.Grav.
8195,Phys.Lett.
8197,Mod.Phys.Lett.
8199,Mod.Phys.Lett.
8201,JHEP
8204,Phys.Lett.
8205,Nucl.Phys.
8206,Phys.Lett.
8207,Acta
8208,Phys.Rev.
8210,Nucl.Phys.
8211,Phys.Rev.
8213,Nucl.Phys.
8214,Phys.Lett.
8215,Phys.Lett.
8216,Nucl.Phys.
8224,Phys.Lett.
8226,JHEP
8230,JHEP
8232,Phys.Lett.
8233,JHEP
8234,Phys.Rev.
8235,Phys.Rev.
8236,Nucl.Phys.Proc.Suppl.
8237,J.Phys.
8239,Phys.Rev.
8245,Phys.Rev.
8248,Phys.Rev.
8249,Nucl.Phys.
8250,Nucl.Phys.
8251,Phys.Rev.
8253,Class.Quant.Grav.
9002,Phys.Lett.
9004,Commun.Math.Phys.
9010,Phys.Rev.
9017,Phys.Rev.
9018,Phys.Rev.
9021,Prog.Theor.Phys.
9022,Phys.Lett.
9025,Phys.Lett.
9031,Phys.Lett.
9035,J.Math.Phys.
9036,J.Phys.
9038,JHEP
9039,Phys.Lett.
9042,JHEP
9044,Phys.Lett.
9048,Class.Quant.Grav.
9050,Phys.Rev.
9051,JHEP
9053,Int.J.Theor.Phys.
9056,Phys.Lett.
9057,J.Math.Phys.
9059,Phys.Rev.
9061,Nucl.Phys.
9062,Phys.Rev.
9063,Phys.Rev.
9067,Phys.Lett.
9068,JHEP
9069,Annals
9070,Phys.Rev.
9075,Eur.Phys.J.
9078,Phys.Lett.
9082,Phys.Rev.
9083,Phys.Rev.
9086,J.Math.Phys.
9087,Nucl.Phys.
9088,Int.J.Theor.Phys.
9090,JHEP
9093,Phys.Rev.
9097,Int.J.Mod.Phys.
9099,Eur.Phys.J.
9100,Int.J.Mod.Phys.
9102,Mod.Phys.Lett.
9103,JHEP
9104,Annals
9105,JHEP
9106,Nucl.Phys.
9107,Nucl.Phys.
9110,Phys.Lett.
9113,Phys.Rev.
9122,Phys.Rev.Lett.
9123,Phys.Lett.
9125,Phys.Lett.
9127,Phys.Rev.
9128,Phys.Rev.
9130,Phys.Lett.
9133,Phys.Lett.
9140,J.Math.Phys.
9141,Nucl.Phys.
9142,JHEP
9144,Phys.Lett.
9147,Phys.Lett.
9153,Phys.Lett.
9154,Annals
9157,Phys.Rev.
9158,JHEP
9159,Phys.Lett.
9163,Phys.Lett.
9166,Mod.Phys.Lett.
9168,Nucl.Phys.
9171,Nucl.Phys.
9172,Phys.Rev.
9174,JHEP
9178,Phys.Lett.
9179,Phys.Rev.
9181,J.Math.Phys.
9182,JHEP
9183,J.Math.Phys.
9185,Phys.Rev.
9187,Nucl.Phys.
9188,Nucl.Phys.
9189,JHEP
9191,JHEP
9192,Nucl.Phys.
9193,Int.J.Mod.Phys.
9194,Int.J.Mod.Phys.
9195,Phys.Rev.Lett.
9196,Phys.Lett.
9197,Nucl.Phys.
9199,Mod.Phys.Lett.
9201001,Int.J.Mod.Phys.
9201002,Phys.Rev.Lett.
9201004,Nucl.Phys.
9201006,Phys.Lett.
9201007,Nucl.Phys.
9201009,Phys.
9201010,Mod.
9201011,Phys.
9201013,Nucl.Phys.
9201014,Nucl.Phys.
9201016,Phys.Lett.
9201019,Phys.
9201020,Nucl.Phys.
9201021,Nucl.Phys.
9201024,Phys.Lett.
9201026,Commun.Math.Phys.
9201030,Int.J.Mod.Phys.
9201032,Phys.
9201033,Mod.Phys.Lett.
9201036,Nucl.
9201042,Phys.
9201044,Phys.
9201047,Phys.Lett.
9201048,Int.
9201050,Nucl.Phys.
9201051,Commun.Math.Phys.
9201052,Phys.Lett.
9201054,Phys.Lett.
9201058,Phys.Rev.Lett.
9201059,Nucl.Phys.
9201063,Phys.Rev.Lett.
9201065,Nucl.
9201067,Nucl.Phys.
9201069,Mod.
9201070,Phys.Lett.
9201071,Phys.Lett.
9201072,Mod.
9201074,Phys.Lett.
9201077,Theor.Math.Phys.
9201079,Commun.Math.Phys.
9201080,Nucl.Phys.
9202003,Phys.
9202004,Phys.Rev.
9202007,Nucl.
9202011,Nucl.Phys.
9202012,Nucl.Phys.
9202014,Nucl.Phys.
9202018,Nucl.Phys.
9202020,Phys.Lett.
9202021,Nucl.Phys.
9202028,Phys.Lett.
9202031,Phys.
9202033,Phys.Lett.
9202036,Commun.Math.Phys.
9202037,Phys.Rev.
9202038,Nucl.Phys.
9202039,Commun.Math.Phys.
9202047,Commun.Math.Phys.
9202051,Mod.Phys.Lett.
9202052,Mod.
9202054,Phys.Rev.
9202057,Phys.Rev.Lett.
9202059,Nucl.Phys.
9202060,Nucl.Phys.
9202069,Nucl.Phys.
9202070,Nucl.Phys.
